country,food_group,food_supply
Afghanistan,Beverages,0.8
Afghanistan,Cereals and their products,1565.2
Afghanistan,Eggs and their products,5.8
Afghanistan,Fats and oils,223.2
Afghanistan,"Fish, shellfish and their products",1.0
Afghanistan,Foods for particular nutritional uses,0.2
Afghanistan,Fruits and their products,81.6
Afghanistan,Meat and meat products,42.4
Afghanistan,Milk and milk products,87.6
Afghanistan,Miscellaneous,2.2
Afghanistan,"Pulses, seeds and nuts and their products",51.2
Afghanistan,"Roots, tubers, plantains and their products",43.6
Afghanistan,Spices and condiments,2.4
Afghanistan,Sweets and sugars,128.8
Afghanistan,Vegetables and their products,25.6
Albania,Beverages,86.6
Albania,Cereals and their products,838.0
Albania,Eggs and their products,58.8
Albania,Fats and oils,309.6
Albania,"Fish, shellfish and their products",16.4
Albania,Foods for particular nutritional uses,2.0
Albania,Fruits and their products,379.0
Albania,Meat and meat products,237.6
Albania,Milk and milk products,617.0
Albania,Miscellaneous,16.8
Albania,"Pulses, seeds and nuts and their products",107.8
Albania,"Roots, tubers, plantains and their products",86.0
Albania,Spices and condiments,1.8
Albania,Sweets and sugars,288.8
Albania,Vegetables and their products,209.4
Algeria,Beverages,13.0
Algeria,Cereals and their products,1569.0
Algeria,Eggs and their products,21.8
Algeria,Fats and oils,553.0
Algeria,"Fish, shellfish and their products",6.4
Algeria,Foods for particular nutritional uses,3.6
Algeria,Fruits and their products,269.2
Algeria,Meat and meat products,103.6
Algeria,Milk and milk products,252.0
Algeria,Miscellaneous,4.2
Algeria,"Pulses, seeds and nuts and their products",82.8
Algeria,"Roots, tubers, plantains and their products",110.0
Algeria,Spices and condiments,6.4
Algeria,Sweets and sugars,295.6
Algeria,Vegetables and their products,136.8
Angola,Beverages,85.6
Angola,Cereals and their products,686.4
Angola,Eggs and their products,3.2
Angola,Fats and oils,264.4
Angola,"Fish, shellfish and their products",28.6
Angola,Foods for particular nutritional uses,1.8
Angola,Fruits and their products,122.2
Angola,Meat and meat products,110.8
Angola,Milk and milk products,15.4
Angola,Miscellaneous,3.2
Angola,"Pulses, seeds and nuts and their products",112.0
Angola,"Roots, tubers, plantains and their products",831.4
Angola,Spices and condiments,0.0
Angola,Sweets and sugars,116.4
Angola,Vegetables and their products,28.2
Antigua and Barbuda,Beverages,203.8
Antigua and Barbuda,Cereals and their products,566.2
Antigua and Barbuda,Eggs and their products,23.4
Antigua and Barbuda,Fats and oils,388.4
Antigua and Barbuda,"Fish, shellfish and their products",97.8
Antigua and Barbuda,Foods for particular nutritional uses,5.8
Antigua and Barbuda,Fruits and their products,171.0
Antigua and Barbuda,Meat and meat products,370.8
Antigua and Barbuda,Milk and milk products,173.2
Antigua and Barbuda,Miscellaneous,20.2
